coral_id,code,type,search_term,cafi_size_mm,measurement,alt_size_mm,alt_measurement,photo_num,id_certainty,general_notes,identification_notes,worms_id,lowest_level,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,species
FE-POC39,HABE,shrimp,Harpiliopsis beaupresii,NA,rostrum_to_tail,NA,,HADE39A,certain,gravid,spots on carapace,220132,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis beaupresii
FE-POC39,HABE,shrimp,Harpiliopsis beaupresii,NA,rostrum_to_tail,NA,,HADE39A,certain,,spots on carapace,220132,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis beaupresii
FE-POC39,COMO,snail,Coralliophila monodonta,NA,total_length,NA,,HADE & LIMP 39A,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
FE-POC39,GOES,shrimp,Gonodactylellus espinosus,NA,rostrum_to_tail,NA,,mantis 39A,certain,,"Mottled red and green coloration, body shape is good fit",408908,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Hoplocarida,NA,Stomatopoda,Unipeltata,NA,Gonodactyloidea,Gonodactylidae,NA,Gonodactylellus,Gonodactylellus espinosus
FE-POC39,PASU,amphipod,Parelasmopus suensis,NA,rostrum_to_tail,NA,,unknown_misc_39A,revision_possible,,"Eye looks right, spots look right",534810,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadziida,Hadzioidea,Maeridae,NA,Parelasmopus,Parelasmopus suensis
FE-POC39,PASU,amphipod,Parelasmopus suensis,NA,rostrum_to_tail,NA,,unknown_misc_39A,revision_possible,,"Eye looks right, spots look right",534810,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadziida,Hadzioidea,Maeridae,NA,Parelasmopus,Parelasmopus suensis
FE-POC39,PASP,hermit,Pagurixus,NA,carapace_length,NA,,unknown_misc_39A,certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC39,PASP,hermit,Pagurixus,NA,carapace_length,NA,,unknown_misc_39A,certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC39,PASP,hermit,Pagurixus,NA,carapace_length,NA,,unknown_misc_39A,certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC39,PESP,shrimp,Periclimenes,NA,rostrum_to_tail,NA,,unknown_misc_39A,revision_possible,,,107035,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Periclimenes,NA
