sort,coral_id,site,type,code,family,genus,species,cafi_size_mm,measurement,alt_size_mm,alt_measurement,cafi_weight,extraction_method,known_unknown,predicted_family,photo_num,revised_yn,revision_date,identified_by,revised_by,previous_name,AP_list_num,notes
1,MRB-POC01,MRB01,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
2,MRB-POC01,MRB01,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
3,MRB-POC01,MRB01,shrimp,ALLO,,,,,rostrum_to_tail,,,NA,clove,known,,US 17,y,31-Oct,AP,ZSP,clear_shrimp,1,merged from AP community matrix data on 7/6
4,MRB-POC01,MRB01,clear_shrimp,HADE,,,,,rostrum_to_tail,,,NA,clove,known,,US18,y,31-Oct,AP,ZSP,clear_shrimp,2,merged from AP community matrix data on 7/6
5,MRB-POC01,MRB01,clear_shrimp,HADE,,,,,rostrum_to_tail,,,NA,clove,known,,US 19,y,31-Oct,AP,ZSP,clear_shrimp,3,merged from AP community matrix data on 7/6
6,MRB-POC01,MRB01,clear_shrimp,HASP,,,,,rostrum_to_tail,,,NA,clove,known,,US 20,y,31-Oct,AP,ZSP,clear_shrimp,4,merged from AP community matrix data on 7/6
7,MRB-POC01,MRB01,fish,PAAR,cirrhitidae,paracirrhites,arcatus,40,total_length,,standard_length,NA,field,known,,,,,,,,,From field survey
8,MRB-POC01,MRB01,fish,PAAR,cirrhitidae,paracirrhites,arcatus,35,total_length,,standard_length,NA,field,known,,,,,,,,,From field survey
9,MRB-POC01,MRB01,worm,polychaete,,,,,total_length,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
10,MRB-POC01,MRB01,crab,TRSE,trapeziidae,trapezia,serenei,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
11,MRB-POC01,MRB01,crab,TRSE,trapeziidae,trapezia,serenei,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
12,MRB-POC01,MRB01,echinoderm,unknown_brittle,,,,,disc_width,,arm_length,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
13,MRB-POC01,MRB01,shrimp,ALPA,,,,,rostrum_to_tail,,,NA,clove,known,,US 21,y,31-Oct,AP,ZSP,unk_shrimp,5,merged from AP community matrix data on 7/6
