order,coral_id,site,type,code,family,genus,species,count,cafi_size_mm,measurement,alt_size_mm,alt_measurement,cafi_weight,extraction_method,known_unknown,predicted_family,photo_num,notes,
1,FE-POC39,,clear_shrimp,HADE,,,,2,,,,,,,known,,HADE39A,one gravid,
2,FE-POC39,,snail,LIMP,,,,1,,,,,,,known,,HADE & LIMP 39A,,
3,FE-POC39,,shrimp,red_camo_mantis,,,,1,,,,,,,unknown,,mantis 39A,,
4,FE-POC39,,amphipod,leopard_black_eye_amphipod,,,,2,,,,,,,unknown,,unknown_misc_39A,,
5,FE-POC39,,hermit,clear_w_orange_hermit,,,,3,,,,,,,unknown,,unknown_misc_39A,,
6,FE-POC39,,clear_shrimp,thicc_harpiliopsis,,,,2,,,,,,,unknown,,unknown_misc_39A,,
7,FE-POC40,,shrimp,ALLO,,,,1,,,,,,,known,,ALLO 40,,
8,FE-POC40,,hermit,clear_w_orange_hermit,,,,3,,,,,,,unknown,,unknown_misc_40,,
9,FE-POC40,,echinoderm,flowering_brittle,,,,1,,,,,,,unknown,,unknown_misc_40,,
10,FE-POC40,,clear_shrimp,skinny_harpiliopsis,,,,1,,,,,,,unknown,,unknown_misc_40,,
11,FE-POC41,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,possible_SYCH41,,
12,FE-POC41,,crab,spikey_crab,,,,2,,,,,,,unknown,,unknown shrimp and crab 41,,
13,FE-POC41,,hermit,clear_orange_hermit,,,,3,,,,,,,unknown,,unknown misc 41,,
14,FE-POC41,,worm,tube_worm,,,,1,,,,,,,unknown,,unknown misc 41,,
15,FE-POC41,,worm,leopard_fireworm,,,,1,,,,,,,unknown,,unknown misc 41,,
16,FE-POC41,,amphipod,brown_w_black_eyes_amphipod,,,,2,,,,,,,unknown,,unknown amph & hermit 41,,
17,FE-POC41,,clear_shrimp,HASP,,,,8,,,,,,,known,,HASPs 41,,
18,FE-POC41,,clear_shrimp,HADE,,,,2,,,,,,,known,,HADEs 41,,
19,FE-POC42,,clear_shrimp,HASP,,,,1,,,,,,,known,,HASP & ALPA 42,,
20,FE-POC42,,shrimp,ALPA,,,,1,,,,,,,known,,HASP & ALPA 42,,
21,FE-POC42,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,possiblle SYCH 42,,
22,FE-POC42,,hermit,clear_w_orange_hermit,,,,10,,,,,,,unknown,,"unknown hermits, worm, and brittle 42",,
23,FE-POC42,,worm,tan_w_eyes_worm,,,,1,,,,,,,unknown,,"unknown hermits, worm, and brittle 42",,
24,FE-POC42,,echinoderm,spikey_tan_brittle,,,,1,,,,,,,unknown,,"unknown hermits, worm, and brittle 42",,
25,FE-POC47,,snail,LIMP,,,,4,,,,,,,known,,HASP & LIMPs 47,,
26,FE-POC47,,clear_shrimp,HASP,,,,1,,,,,,,known,,HASP & LIMPs 47,,
27,FE-POC47,,worm,iphione_worm,,,,1,,,,,,,unknown,,unknown misc 47,,
28,FE-POC47,,fish,black_dots_on_head_fish,,,,1,,,,,,,unknown,,unknown misc 47,,
29,FE-POC47,,amphipod,red_eye_yellow_amphipod,,,,1,,,,,,,unknown,,unknown misc 47,,
30,FE-POC47,,snail,degraded_spiral_snail,,,,1,,,,,,,unknown,,unknown misc 47,,
31,FE-POC47,,shrimp,possible_SYCH,,,,1,,,,,,,unknown,,unknown shrimps 47,,
32,FE-POC47,,clear_shrimp,thicc_harpiliopsis,,,,1,,,,,,,unknown,,unknown shrimps 47,,
33,FE-POC48,,echinoderm,snakeskin_brittle,,,,2,,,,,,,unknown,,unknown brittles 48,,
34,FE-POC48,,echinoderm,sandpaper_brittle,,,,3,,,,,,,unknown,,unknown brittles 48,,
35,FE-POC48,,crab,spikey_crab,,,,1,,,,,,,unknown,,unknown crab 48,,
36,FE-POC48,,shrimp,spotted_big_claw_shrimp,,,,1,,,,,,,unknown,,unknown alph 48,,
37,FE-POC48,,amphipod,big_w_black_eye_amphipod,,,,1,,,,,,,unknown,,unknown shrimps and alphs 48,,
38,FE-POC48,,amphipod,red_eye_yellow_amphipod,,,,1,,,,,,,unknown,,unknown shrimps and alphs 48,,
39,FE-POC48,,shrimp,possible_SYCH,,,,1,,,,,,,unknown,,unknown shrimps and alphs 48,,
40,FE-POC48,,hermit,clear_w_orange_hermit,,,,3,,,,,,,unknown,,HASP & unknown hermits 48,,
41,FE-POC48,,clear_shrimp,HASP,,,,1,,,,,,,known,,HASP & unknown hermits 48,,
42,FE-POC48,,worm,black_polychaete,,,,1,,,,,,,unknown,,unknown worm 48,changed from black_poly_worm - JC,
43,FE-POC59,,clear_shrimp,skinny_harpiliopsis,,,,3,,,,,,,unknown,,unknown shrimp 59,two gravid,
44,FE-POC59,,squat_lobster,GAMA,,,,4,,,,,,,known,,GAMAs 59,,
45,FE-POC59,,clear_shrimp,HADE,,,,3,,,,,,,known,,HADEs 59,two gravid,
46,FE-POC59,,snail,zebra_snail,,,,1,,,,,,,unknown,,unknown snail 59,,
47,FE-POC59,,crab,spikey_crab,,,,1,,,,,,,unknown,,unknown crab 59,,
48,FE-POC59,,hermit,clear_w_orange_hermit,,,,11,,,,,,,unknown,,unknown hermits 59,,
49,FE-POC59,,echinoderm,OPSE,,,,1,,,,,,,known,,unknown miscellaneous 59,,
50,FE-POC59,,snail,green_curl_snail,,,,1,,,,,,,unknown,,unknown miscellaneous 59,,
