coral_id,row,column,camera,length_pg,width_pg,height_pg,surface_area,surface_area_no_holes,volume_pg,max_hull_volume,max_hull_surface_area,scalebar_error_x,scalebar_error_y,scalebar_error_z,average_scalebar_error,total_photos,photos_not_aligned,notes
FE-POC57,1,1,Canon G16,,,,,,,,,0.000348114,-0.000101808,-0.000249707,0.000254,176,0,optimized twice
FE-POC04,1,2,Canon G16,28.72,22.02,20.65,0.321444,0.308228,0.002248,0.006164,0.173143,6.80E-06,-1.04E-04,9.73E-05,8.30E-05,162,0,
FE-POC29,1,3,Canon G16,,,,,,,,,7.93E-05,6.99E-05,-1.50E-04,0.000106,152,0,
FE-POC43,1,4,Olympus,17.11,14.51,13.66,0.082471,0.096763,0.000613,0.001612,0.074879,1.02E-04,-2.50E-04,1.46E-04,0.000177,130,0,
FE-POC23,1,5,Olympus,16.75,18.13,12.4,0.124615,0.131321,0.000938,0.001923,0.078415,-2.29E-04,4.90E-04,-2.68E-04,0.000349,135,0,
FE-POC01,1,6,Canon G16,,,,,,,,,-3.40E-04,5.78E-05,2.79E-04,0.000256,150,0,
FE-POC09,1,7,Canon G16,,,,,,,,,,,,,160,0,"couldn't get to low enough scaling error, try realigning"
FE-POC37,1,8,Canon G16,45.1,32.01,30.01,0.953373,0.983909,0.00824,0.024482,0.435651,3.08E-04,-2.67E-04,-4.44E-05,0.000237,187,0,
FE-POC30,1,9,Olympus,,,,,,,,,-9.20E-06,-2.63E-04,2.69E-04,0.000217,150,0,
FE-POC48,1,10,Canon G16,,,,,,,,,-3.75E-04,2.43E-04,1.29E-04,0.000269,148,0,
FE-POC28,1,11,Canon G16,,,,,,,,,,,,,,,dead
FE-POC13,1,12,Canon G16,22.94,22.17,12.51,0.192982,0.21184,0.002127,0.003238,0.114349,4.36E-04,-4.17E-04,-2.58E-05,0.000349,152,0,
FE-POC18,1,13,Canon G16,14.86,14.4,9.72,0.105276,0.118591,0.000708,0.001238,0.059402,8.11E-05,1.49E-04,-2.31E-04,0.000166,148,0,
FE-POC56,1,14,Canon G16,32.68,35.48,20.23,0.654519,0.714011,0.006597,0.013498,0.291641,1.75E-04,8.48E-05,-2.61E-04,0.000188,160,0,
FE-POC46,1,15,Canon G16,30.92,23.96,16.07,0.311016,0.338312,0.002704,0.006243,0.176755,6.46E-05,-4.07E-04,3.37E-04,0.000307,171,2,
FE-POC05,2,1,Canon G16,8.47,9.97,5.28,0.024798,0.031077,0.000167,0.000287,0.023166,3.11E-04,-1.54E-04,-1.60E-04,0.00221,131,0,
FE-POC22,2,2,Olympus,17.66,16.15,11.4,0.136682,0.149171,0.000929,0.00197,0.080203,2.38E-04,-2.47E-04,7.41E-06,0.000198,157,0,
FE-POC20,2,3,Canon G16,,,,,,,,,-2.59E-04,4.49E-06,2.52E-04,0.000209,155,0,
FE-POC52,2,4,Canon G16,11.76,13.28,8.52,0.054242,0.060689,0.000315,0.000685,0.039617,-4.98E-06,-1.21E-04,1.25E-04,0.000101,138,1,
FE-POC35,2,5,Canon G16,12.06,15.28,9.43,0.093264,0.100918,0.000636,0.001131,0.055496,4.36E-04,-2.09E-04,-2.32E-04,0.000309,150,0,
FE-POC54,2,6,Canon G16,25.41,18.03,17.93,0.277801,0.306004,0.003072,0.005206,0.151385,-2.56E-04,1.48E-04,1.06E-04,0.000182,139,0,
FE-POC42,2,7,Canon G16,26.89,26.95,21.2,0.398391,0.411373,0.003297,0.007461,0.192618,-3.05E-04,-8.24E-06,3.10E-04,0.000251,180,0,
