coral_id,use,row,column,camera,length_pg,width_pg,height_pg,volume_pg,surface_area,max_hull_volume,max_hull_surface_area,scalebar_error_x,scalebar_error_y,scalebar_error_z,total_photos,photos_not_aligned,notes
FE-POC57,y,1,1,Canon PowerShot G16,0.428525,0.305889,0.216225,0.009572,0.932397,0.020086,0.378889,0.000533,-0.000213,-0.000328,241,0,
FE-POC04,y,1,2,Canon PowerShot G16,0.281155,0.183891,0.170744,0.001961,0.283282,0.005241,0.155745,-0.000429,0.000077,0.000346,231,0,
FE-POC29,y,1,3,Canon PowerShot G16,0.370753,0.249644,0.263408,0.009147,0.754218,0.015901,0.321324,0.000723,-0.000596,-0.000143,244,0,
FE-POC43,y,1,4,Canon PowerShot G16,0.184856,0.145225,0.112751,0.000476,0.08889,0.001419,0.068324,0.000019,-0.000125,0.000106,181,0,
FE-POC23,y,1,5,Canon PowerShot G16,0.172489,0.141289,0.104208,0.000778,0.123913,0.001622,0.069835,0.000323,-0.000471,0.000142,215,0,
FE-POC01,y,1,6,Canon PowerShot G16,0.449479,0.378925,0.351721,0.007653,1.012,0.036078,0.566109,-0.000456,0.000466,-0.000018,268,0,
FE-POC09,n,1,7,Canon PowerShot G16,0.270287,0.21319,0.132049,0.002805,0.275621,0.004579,0.145339,-0.000197,0.000286,-0.000091,198,198,qualitatively poor quality
FE-POC37,y,1,8,TG-4,0.457853,0.333679,0.265053,0.008021,1.063,0.024597,0.436947,-0.000632,0.000495,0.000126,205,0,Area without holes 1.083; realigned with new markers
FE-POC30,y,1,9,Canon PowerShot G16,0.155258,0.151075,0.102853,0.001073,0.145851,0.002221,0.088018,-0.000427,-0.000258,0.000672,173,0,
FE-POC48,y,1,10,TG-4,0.319131,0.230153,0.190716,0.002792,0.42749,0.007808,0.20487,-0.000028,0.000028,NA,157,4,only 2 scale bars used
FE-POC28,y,1,11,Canon PowerShot G16,0.073,0.051892,0.04011,0.000044,0.010756,0.00008,0.009832,0.000101,-0.000158,0.000056,140,0,
FE-POC13,y,1,12,Canon PowerShot G16,0.218417,0.221208,0.109913,0.001767,0.208529,0.003021,0.109994,-0.000001,-0.000229,0.000228,175,0,
FE-POC18,y,1,13,Canon PowerShot G16,0.149647,0.130591,0.077612,0.000594,0.100337,0.001118,0.055596,-0.000024,-0.000295,0.000316,176,0,
FE-POC56,y,1,14,Canon PowerShot G16,0.35155,0.298702,0.199403,0.006093,0.589949,NA,NA,0.000734,-0.000226,-0.000523,168,0,
FE-POC46,y,1,15,TG-4,0.282787,0.202868,0.137574,0.002143,0.304433,0.005425,0.16165,0,0,NA,188,0,"only 2 scale bars used, rubiks cube not aligned"
FE-POC05,y,2,1,Canon PowerShot G16,0.102722,0.078435,0.051504,0.000139,0.02355,0.000255,0.021108,0.000137,-0.000138,NA,189,0,"only 2 scale bars used, rubiks cube not aligned"
FE-POC22,y,2,2,Canon PowerShot G16,0.173227,0.153559,0.099847,0.000784,0.124904,0.001638,0.071525,-0.000523,0.000065,0.000449,210,0,
