coral_id,branch_distance_mm,replicate_measurement,location,notes
FE-POC57,31.6,1,base,
FE-POC57,35.9,2,top,
FE-POC57,46.8,3,base,
FE-POC57,17.9,4,mid ,
FE-POC57,22.4,5,mid ,
FE-POC04,29.2,1,base,
FE-POC04,25.1,2,top,
FE-POC04,27.1,3,base,
FE-POC04,23.7,4,mid ,
FE-POC04,17,5,mid ,
FE-POC01,59.3,1,base,
FE-POC01,52,2,top,
FE-POC01,38.6,3,base,
FE-POC01,61.8,4,mid ,
FE-POC01,3.46,5,mid ,
FE-POC09,15.4,1,base,poor quality
FE-POC09,10.9,2,top,poor quality
FE-POC09,14,3,base,poor quality
FE-POC09,13,4,mid,poor quality
FE-POC09,10.9,5,mid,poor quality
FE-POC30,36,1,base,
FE-POC30,24.3,2,top,
FE-POC30,17.7,3,base,
FE-POC30,19.6,4,mid ,
FE-POC30,18.9,5,mid ,
FE-POC13,11.9,1,base,
FE-POC13,12,2,top,
FE-POC13,14.4,3,base,
FE-POC13,9.5,4,mid ,
FE-POC13,12,5,mid ,
FE-POC18,13.8,1,base,
FE-POC18,10.4,2,top,
FE-POC18,11.5,3,base,
FE-POC18,14.9,4,mid ,
FE-POC18,10.9,5,mid ,
FE-POC46,22.2,1,base,
FE-POC46,22.1,2,top,
FE-POC46,14.6,3,base,
FE-POC46,22.8,4,mid ,
FE-POC46,34.3,5,mid ,
FE-POC22,22.5,1,base,
FE-POC22,11.6,2,top,
FE-POC22,15.9,3,base,
FE-POC22,16.6,4,mid ,
FE-POC22,10.7,5,mid ,
FE-POC20,19.8,1,base,
FE-POC20,37.3,2,base,
FE-POC20,21.2,3,top,
FE-POC20,36.5,4,mid ,
FE-POC20,46.4,5,mid ,
FE-POC35,13.7,1,base,
FE-POC35,15.1,2,base,
FE-POC35,8.97,3,top,
FE-POC35,8.81,4,mid,
FE-POC35,9.32,5,mid,
FE-POC16,13.3,1,base,
FE-POC16,22.1,2,top,
FE-POC16,13,3,base,
FE-POC16,10.9,4,mid,
FE-POC16,16.2,5,mid,
FE-POC07,18.8,1,base,
FE-POC07,37.9,2,base,
FE-POC07,32.8,3,top,
FE-POC07,27.4,4,mid,
FE-POC07,25.7,5,mid,
FE-POC11,20.6,1,base,
FE-POC11,15.4,2,top,
FE-POC11,21.1,3,base,
FE-POC11,4.14,4,mid,
FE-POC11,5.69,5,mid,
FE-POC33,7.19,1,base,
FE-POC33,8.57,2,top,
FE-POC33,13.4,3,base,
FE-POC33,11.3,4,mid,
FE-POC33,18.4,5,mid,
FE-POC27,18,1,base,
FE-POC27,26.2,2,base,
FE-POC27,32,3,top,
